mode,channel_key,feature_index,feature_label,expectation,shots_or_weight,distribution,raw_distribution,readout_corrected,readout_raw_normalization,readout_raw_negativity,readout_simplex_projection_l1,readout_condition_number,readout_inverse_overhead_l1
ideal,q4,13,Z+->Y,0.0546875,256.0,"{'00000': 135, '10000': 121}","{'00000': 135, '10000': 121}",False,,,,,
ideal,q4,14,Z+->Z,1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q4,15,Z-->X,0.0703125,256.0,"{'10000': 119, '00000': 137}","{'10000': 119, '00000': 137}",False,,,,,
ideal,q4,16,Z-->Y,-0.1015625,256.0,"{'00000': 115, '10000': 141}","{'00000': 115, '10000': 141}",False,,,,,
ideal,q4,17,Z-->Z,-1.0,256.0,{'10000': 256},{'10000': 256},False,,,,,
ideal,q0-q1,0,"Z-,Y+->ZY",1.0,256.0,{'00011': 256},{'00011': 256},False,,,,,
ideal,q0-q1,1,"X+,X+->XI",1.0,256.0,"{'00000': 142, '00010': 114}","{'00000': 142, '00010': 114}",False,,,,,
ideal,q0-q1,2,"Z-,Z+->ZZ",1.0,256.0,{'00011': 256},{'00011': 256},False,,,,,
ideal,q0-q1,3,"X+,Z+->YY",-1.0,256.0,"{'00010': 130, '00001': 126}","{'00010': 130, '00001': 126}",False,,,,,
ideal,q0-q1,4,"X+,Y+->YZ",1.0,256.0,"{'00011': 143, '00000': 113}","{'00011': 143, '00000': 113}",False,,,,,
ideal,q0-q1,5,"Z-,Y+->ZI",-1.0,256.0,"{'00011': 134, '00001': 122}","{'00011': 134, '00001': 122}",False,,,,,
